GVKEY,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,act,aqc,at,capx,ceq,ebit,ebitda,epsfi,epsfx,epspi,epspx,fincf,ivncf,lct,lo,lt,ni,oancf,revt,seq,teq,xrd,costat
5968,2020-12-31,2020,INDL,C,D,STD,USD,1103.4000,0.0000,1802.1000,26.0000,138.8000,66.8000,120.7000,-1.7300,-1.7300,-1.7300,-1.7300,-250.2000,-25.9000,527.6000,237.7000,1657.0000,-65.8000,277.9000,3466.6000,138.8000,145.1000,,A
5968,2021-12-31,2021,INDL,C,D,STD,USD,1593.0000,14.5000,2365.6000,59.3000,537.2000,435.6000,491.5000,7.5600,7.5600,7.6700,7.6700,-137.9000,94.4000,751.0000,164.6000,1821.0000,294.3000,35.0000,5675.3000,537.2000,544.6000,,A
5968,2022-12-31,2022,INDL,C,D,STD,USD,1441.6000,57.0000,2334.3000,105.1000,885.1000,581.8000,640.8000,10.2100,10.2100,10.4100,10.4100,-350.1000,-160.0000,619.2000,120.3000,1441.3000,391.0000,501.2000,6323.6000,885.1000,893.0000,,A
5987,2020-09-30,2020,INDL,C,D,STD,USD,1113.4520,10.5310,2456.0170,48.9980,700.1510,172.0450,234.3730,1.1900,1.1900,1.2500,1.2500,68.1900,-58.8630,449.2460,99.5160,1755.8660,53.4290,134.0080,2407.5220,700.1510,700.1510,15.4000,A
5987,2021-09-30,2021,INDL,C,D,STD,USD,1366.2790,2.2420,2604.6850,36.9510,807.1580,192.0010,244.3030,1.4800,1.3300,1.5600,1.4000,-28.2450,-49.4160,531.6360,64.0900,1797.5270,79.2110,111.7690,2270.6260,807.1580,807.1580,7.0000,A
5987,2022-09-30,2022,INDL,C,D,STD,USD,1214.6720,851.4640,2816.4740,42.4880,477.5700,376.0810,440.7390,-3.7100,-5.5700,-3.7100,-5.5700,393.3450,-585.8540,423.5790,55.4960,2338.9040,-191.5580,69.4380,2848.4880,477.5700,477.5700,16.0000,A
5987,2023-09-30,2023,INDL,C,D,STD,USD,980.5910,0.0000,2418.8790,63.6040,315.2440,436.9590,502.4040,1.4200,1.4200,1.4900,1.4900,-400.1620,-45.2110,359.1490,39.7340,2103.6350,77.6170,428.7710,2685.1830,315.2440,315.2440,18.0000,A
6008,2020-12-31,2020,INDL,C,D,STD,USD,47249.0000,837.0000,153091.0000,14259.0000,81038.0000,23876.0000,36115.0000,4.9400,4.9400,4.9800,4.9800,-12917.0000,-20796.0000,24754.0000,9205.0000,72053.0000,20899.0000,35384.0000,77867.0000,81038.0000,81038.0000,13556.0000,A
6008,2021-12-31,2021,INDL,C,D,STD,USD,57718.0000,209.0000,168406.0000,18733.0000,95391.0000,22082.0000,33874.0000,4.8600,4.8600,4.8900,4.8900,-5862.0000,-25167.0000,27462.0000,9081.0000,73015.0000,19868.0000,29991.0000,79024.0000,95391.0000,95391.0000,15190.0000,A
6008,2022-12-31,2022,INDL,C,D,STD,USD,50407.0000,,182103.0000,24844.0000,101423.0000,2779.0000,15814.0000,1.9400,1.9400,1.9500,1.9500,1361.0000,-10477.0000,32155.0000,8540.0000,78817.0000,8014.0000,15433.0000,63054.0000,101423.0000,103286.0000,17528.0000,A
6008,2023-12-31,2023,INDL,C,D,STD,USD,43269.0000,0.0000,191572.0000,25750.0000,105590.0000,31.0000,9633.0000,0.4000,0.4000,0.4000,0.4000,8505.0000,-24041.0000,28053.0000,6101.0000,81607.0000,1689.0000,11471.0000,54228.0000,105590.0000,109965.0000,16046.0000,A
6013,2020-12-31,2020,INDL,C,D,STD,USD,42.4890,0.0000,57.0250,6.8750,44.1510,11.2950,13.4330,0.9100,0.9100,0.9100,0.9100,-1.6390,-7.7400,10.0620,0.0000,12.8740,8.1610,20.9660,35.8730,44.1510,44.1510,5.1530,A
6013,2021-12-31,2021,INDL,C,D,STD,USD,36.8370,0.0000,58.1480,5.4250,43.8740,11.6580,15.4540,1.0300,1.0300,1.0300,1.0300,-9.5810,-7.9920,10.8530,0.1640,14.2740,9.0390,8.9150,48.2480,43.8740,43.8740,8.8590,A
6013,2022-12-31,2022,INDL,C,D,STD,USD,42.3210,0.0000,63.2320,8.7350,52.7630,19.9530,25.7830,1.6100,1.6100,1.6200,1.6200,-5.3350,-13.4840,7.5430,0.4730,10.4690,13.8810,9.8640,69.7650,52.7630,52.7630,11.7000,A
6013,2023-12-31,2023,INDL,C,D,STD,USD,44.4890,,63.8260,,52.7040,5.3110,,0.4000,0.4000,0.4000,0.4000,,,9.5400,0.2650,11.1220,3.3950,,56.0040,52.7040,52.7040,8.4780,A
6034,2020-12-31,2020,INDL,C,D,STD,USD,495.3940,0.0000,1306.0110,62.9490,326.5380,89.3450,137.2020,-1.2300,-1.2300,-1.2300,-1.2300,-42.7150,-61.6890,193.3000,101.4590,979.4730,-71.9290,119.0700,1103.2620,326.5380,326.5380,18.6000,A
6034,2021-12-31,2021,INDL,C,D,STD,USD,572.3400,0.0000,1330.0570,28.0710,363.3980,116.6460,164.1820,0.9400,0.9400,0.9400,0.9400,-60.8580,-28.0710,261.8120,83.9620,966.6590,55.2340,86.6890,1200.3980,363.3980,363.3980,19.3000,A
6034,2022-12-31,2022,INDL,C,D,STD,USD,617.0370,0.0000,1266.5030,18.4370,361.5370,121.1730,162.5110,0.3300,0.3300,0.3300,0.3300,-19.4900,-18.4370,220.4700,59.3880,904.9660,19.5600,43.0610,1297.9190,361.5370,361.5370,19.1000,A
6066,2020-12-31,2020,INDL,C,D,STD,USD,39165.0000,336.0000,155971.0000,2618.0000,20597.0000,8689.0000,15384.0000,6.2300,6.1300,6.2800,6.1800,-9721.0000,-3028.0000,39869.0000,31974.0000,135244.0000,5590.0000,18197.0000,73620.0000,20597.0000,20727.0000,6333.0000,A
6066,2021-12-31,2021,INDL,C,D,STD,USD,29539.0000,3293.0000,132001.0000,2062.0000,18901.0000,6694.0000,13088.0000,6.3500,5.2100,6.4100,5.2600,-13354.0000,-5975.0000,33619.0000,28051.0000,113005.0000,5743.0000,12796.0000,57350.0000,18901.0000,18996.0000,6488.0000,A
6066,2022-12-31,2022,INDL,C,D,STD,USD,29118.0000,2348.0000,127243.0000,1346.0000,21944.0000,7873.0000,12677.0000,1.8000,1.9500,1.8200,1.9700,-4958.0000,-4202.0000,31505.0000,23046.0000,105222.0000,1639.0000,10436.0000,60530.0000,21944.0000,22021.0000,6567.0000,A
6078,2020-12-31,2020,INDL,C,D,STD,USD,3059.7990,,13555.6710,191.7940,6311.1530,728.9140,1054.2740,3.2100,3.2100,3.2500,3.2500,-511.5700,-187.4630,1903.7260,589.9900,7135.0840,363.2280,714.0980,5084.2390,6311.1530,6323.0350,356.8630,A
6078,2021-12-31,2021,INDL,C,D,STD,USD,6987.0000,-246.0000,39658.0000,393.0000,21082.0000,1240.0000,2396.0000,1.1000,1.1000,1.1100,1.1100,-1304.0000,-18.0000,3633.0000,832.0000,18436.0000,270.0000,1437.0000,11656.0000,21082.0000,21117.0000,629.0000,A
6078,2022-12-31,2022,INDL,C,D,STD,USD,7432.0000,99.0000,35407.0000,504.0000,17684.0000,1257.0000,2436.0000,-7.3200,-7.3200,-7.3200,-7.3200,-1229.0000,745.0000,3728.0000,691.0000,17634.0000,-1871.0000,397.0000,12440.0000,17684.0000,17714.0000,603.0000,A
6100,2020-12-31,2020,INDL,C,D,STD,USD,1026.8790,0.0000,1616.2750,11.7930,773.3690,66.0680,147.1090,1.4400,1.4400,1.4600,1.4600,-132.8560,-310.0460,295.7620,132.6220,819.7090,44.8010,163.4670,358.9910,773.3690,796.5660,84.6460,A
6100,2021-12-31,2021,INDL,C,D,STD,USD,1050.2850,0.0000,1628.1560,2.5110,745.2390,109.1830,187.3760,1.7700,1.7700,1.8000,1.8000,-74.4700,179.6390,371.5610,62.8120,875.2390,55.2950,130.3920,425.4090,745.2390,752.9170,89.3680,A
6100,2022-12-31,2022,INDL,C,D,STD,USD,1344.6750,0.0000,1900.1050,3.1560,724.8950,153.7960,232.3670,3.0700,3.0700,3.1100,3.1100,18.6040,-314.7060,271.3460,271.1570,1169.5920,93.6930,286.0390,457.7940,724.8950,730.5130,185.2020,A
6100,2023-12-31,2023,INDL,C,D,STD,USD,1167.6240,0.0000,1770.8140,4.2680,581.5490,231.6520,309.4440,7.6200,7.6200,7.9700,7.9700,-388.7630,-85.1700,881.1280,261.7050,1189.2650,214.0690,213.7330,549.5880,581.5490,581.5490,195.2850,A
6104,2020-12-31,2020,INDL,C,D,STD,USD,11236.0000,65.0000,31718.0000,751.0000,7854.0000,1801.0000,3087.0000,1.2200,1.2200,1.2300,1.2300,-2700.0000,-269.0000,8284.0000,2352.0000,23850.0000,482.0000,3061.0000,20580.0000,7854.0000,7868.0000,,A
6104,2021-12-31,2021,INDL,C,D,STD,USD,7096.0000,80.0000,25243.0000,549.0000,9082.0000,1506.0000,2603.0000,4.4700,2.8600,4.5000,2.8800,-7375.0000,6054.0000,4144.0000,1681.0000,16161.0000,1752.0000,2030.0000,19363.0000,9082.0000,9082.0000,,A
6104,2022-12-31,2022,INDL,C,D,STD,USD,6770.0000,0.0000,23940.0000,931.0000,8497.0000,1819.0000,2859.0000,4.1000,4.7400,4.1400,4.7900,-2054.0000,-608.0000,5000.0000,1506.0000,15443.0000,1504.0000,2174.0000,21161.0000,8497.0000,8497.0000,,A
