GVKEY,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,act,aqc,at,capx,ceq,ebit,ebitda,epsfi,epsfx,epspi,epspx,fincf,ivncf,lct,lo,lt,ni,oancf,revt,seq,teq,xrd,costat
1004,2021-05-31,2020,INDL,C,D,STD,USD,937.0000,0.0000,1539.7000,11.3000,974.4000,65.5000,101.8000,1.0000,1.3000,1.0100,1.3100,-469.5000,-0.5000,336.8000,25.4000,565.3000,35.8000,105.2000,1651.4000,974.4000,974.4000,,A
1004,2022-05-31,2021,INDL,C,D,STD,USD,1007.2000,0.0000,1573.9000,17.3000,1034.5000,116.2000,149.3000,2.1700,2.1600,2.2000,2.1900,-59.8000,-16.5000,348.2000,14.9000,539.4000,78.7000,75.2000,1817.1000,1034.5000,1034.5000,,A
1004,2023-05-31,2022,INDL,C,D,STD,USD,1097.9000,103.3000,1833.1000,29.5000,1099.1000,151.4000,179.3000,2.5300,2.5200,2.5600,2.5500,137.7000,-138.0000,351.5000,31.0000,734.0000,90.2000,23.3000,1990.6000,1099.1000,1099.1000,,A
1045,2020-12-31,2020,INDL,C,D,STD,USD,11095.0000,0.0000,62008.0000,1958.0000,-6867.0000,-11387.0000,-9022.0000,-18.3600,-18.3600,-18.3600,-18.3600,10994.0000,-4342.0000,16569.0000,15724.0000,68875.0000,-8885.0000,-6543.0000,17337.0000,-6867.0000,-6867.0000,,A
1045,2021-12-31,2021,INDL,C,D,STD,USD,17336.0000,0.0000,66467.0000,412.0000,-7340.0000,-5514.0000,-3179.0000,-3.0900,-3.0900,-3.0900,-3.0900,5288.0000,-5983.0000,19006.0000,12611.0000,73807.0000,-1993.0000,704.0000,29882.0000,-7340.0000,-7340.0000,,A
1045,2022-12-31,2022,INDL,C,D,STD,USD,15269.0000,0.0000,64716.0000,2906.0000,-5799.0000,1805.0000,4103.0000,0.1900,0.1900,0.2000,0.2000,-2631.0000,636.0000,21496.0000,10061.0000,70515.0000,127.0000,2173.0000,48971.0000,-5799.0000,-5799.0000,,A
1045,2023-12-31,2023,INDL,C,D,STD,USD,13572.0000,0.0000,63058.0000,2596.0000,-5202.0000,4013.0000,6267.0000,1.2100,1.2100,1.2600,1.2600,-3206.0000,-502.0000,22062.0000,10476.0000,68260.0000,822.0000,3803.0000,52788.0000,-5202.0000,-5202.0000,,A
1050,2020-12-31,2020,INDL,C,D,STD,USD,183.4850,5.8950,419.3140,3.9450,202.6580,20.5930,30.5140,0.2300,0.2300,0.2300,0.2300,3.7240,-9.2350,109.3560,13.7930,215.7030,8.2110,4.4210,316.0110,202.6580,203.6110,,A
1050,2021-12-31,2021,INDL,C,D,STD,USD,189.0110,0.0000,416.1970,2.6160,204.5540,12.0400,21.8930,0.0400,0.0400,0.0400,0.0400,-15.5560,-2.0830,116.6850,8.6430,210.2400,1.4260,13.2980,324.1400,204.5540,205.9570,,A
1050,2022-12-31,2022,INDL,C,D,STD,USD,240.6580,44.9000,504.7210,3.3760,213.2240,25.2140,35.8280,0.5000,0.5000,0.5000,0.5000,38.1760,-48.2570,146.7000,9.5920,286.5730,17.4170,29.6490,422.6270,213.2240,218.1480,,A
1062,2020-11-30,2020,INDL,C,D,STD,USD,,,464.7400,,463.9360,-2.6410,-2.6410,9.2500,9.2500,9.2500,9.2500,,,,0.4920,0.8040,178.4430,,1.3330,463.9360,463.9360,,A
1062,2021-11-30,2021,INDL,C,D,STD,USD,,,482.6940,,481.8980,-1.6870,-1.6870,0.9500,0.9500,0.9500,0.9500,,,,0.4810,0.7960,18.3480,,2.6740,481.8980,481.8980,,A
1062,2022-11-30,2022,INDL,C,D,STD,USD,,,326.2640,,325.5730,-1.4050,-1.4050,-8.0800,-8.0800,-8.0800,-8.0800,,,,0.4880,0.6910,-155.9400,,2.5500,325.5730,325.5730,,A
1062,2023-11-30,2023,INDL,C,D,STD,USD,,,335.6190,,334.9120,-1.0790,-1.0790,0.5000,0.5000,0.5000,0.5000,,,,0.5040,0.7070,9.7260,,2.3940,334.9120,334.9120,,A
1075,2020-12-31,2020,INDL,C,D,STD,USD,1198.3190,0.0000,20020.4210,1345.1140,5633.5030,788.1520,1402.5300,4.8700,4.8700,4.8900,4.8900,361.1380,-1277.8180,1360.4330,3904.8180,14267.6280,550.5590,966.3650,3586.9820,5633.5030,5752.7930,,A
1075,2021-12-31,2021,INDL,C,D,STD,USD,1551.1000,0.0000,22003.2220,1494.5270,5906.2000,805.3100,1456.1850,5.4700,5.4700,5.4800,5.4800,476.9160,-1386.9290,1756.8690,4084.3250,15981.7620,618.7200,860.0140,3803.8350,5906.2000,6021.4600,,A
1075,2022-12-31,2022,INDL,C,D,STD,USD,1750.5540,0.0000,22723.4050,1735.5200,6048.6470,731.9110,1485.1060,4.2600,4.2600,4.2700,4.2700,371.4680,-1618.0460,1762.1410,3855.7570,16563.5290,483.6020,1241.4410,4324.3850,6048.6470,6159.8760,,A
1076,2020-12-31,2020,INDL,C,D,STD,USD,,14.7930,1317.4040,64.3450,986.1360,299.1810,2083.9170,-0.9000,3.4300,-0.9100,3.4700,-362.5540,-114.5350,,46.5650,331.2680,-61.4650,455.9640,2484.5950,986.1360,986.1360,,A
1076,2021-12-31,2021,INDL,C,D,STD,USD,,22.7660,1621.7610,9.5550,679.4080,323.7880,2177.0560,3.6700,3.6700,3.6900,3.6900,-30.2810,-82.1660,,93.5210,942.3530,243.5570,245.9610,2677.9200,679.4080,679.4080,,A
1076,2022-12-31,2022,INDL,C,D,STD,USD,,-0.0060,1491.9090,9.6740,570.4610,204.7970,1996.3780,1.9000,1.9000,1.9000,1.9000,-227.2240,-53.5340,,88.1840,921.4480,98.7090,242.4790,2597.8260,570.4610,570.4610,,A
1078,2020-12-31,2020,INDL,C,D,STD,USD,20441.0000,42.0000,72548.0000,2177.0000,32784.0000,5785.0000,9112.0000,2.5000,2.4900,2.5200,2.5100,-2779.0000,-2215.0000,11907.0000,6803.0000,39545.0000,4495.0000,7901.0000,34608.0000,32784.0000,33003.0000,2420.0000,A
1078,2021-12-31,2021,INDL,C,D,STD,USD,24239.0000,187.0000,75196.0000,1885.0000,35802.0000,8966.0000,12504.0000,3.9400,3.9400,3.9700,3.9700,-5494.0000,-2008.0000,13105.0000,6423.0000,39172.0000,7071.0000,10533.0000,43075.0000,35802.0000,36024.0000,2742.0000,A
1078,2022-12-31,2022,INDL,C,D,STD,USD,25224.0000,0.0000,74438.0000,1777.0000,36686.0000,9046.0000,12550.0000,3.9100,3.9100,3.9400,3.9400,-7636.0000,-1740.0000,15489.0000,5588.0000,37533.0000,6933.0000,9581.0000,43653.0000,36686.0000,36905.0000,2888.0000,A
1104,2020-12-31,2020,INDL,C,D,STD,USD,83.6850,11.3830,129.8670,2.5690,62.7160,11.4120,15.1640,2.3100,2.3100,2.4200,2.4200,5.2910,-13.9520,20.2010,0.0000,67.1510,8.0990,5.7210,164.0030,62.7160,62.7160,0.2510,A
1104,2021-12-31,2021,INDL,C,D,STD,USD,95.2510,0.0000,144.4390,6.3730,77.0820,12.7710,16.8200,3.4500,3.4500,3.9300,3.9300,2.0430,-6.3730,20.2750,0.0000,67.3570,13.6560,5.1410,182.0880,77.0820,77.0820,,A
1104,2022-12-31,2022,INDL,C,D,STD,USD,105.6000,9.6230,164.3770,4.3040,79.0300,6.2730,10.8510,0.8200,0.8200,0.8600,0.8600,14.2770,-14.2270,22.1270,0.6220,85.3470,3.0350,2.8920,193.9620,79.0300,79.0300,,A
1117,2020-12-31,2020,INDL,C,D,STD,USD,24.6110,0.0000,37.4900,0.9460,22.5240,1.2690,2.6130,0.0200,0.0200,0.0200,0.0200,-1.3480,-0.9460,9.4660,2.5510,14.9660,0.2480,4.4440,44.1390,22.5240,22.5240,7.8690,A
1117,2021-12-31,2021,INDL,C,D,STD,USD,37.4210,0.0000,50.3850,2.4160,32.6180,-1.1960,0.1980,-0.1100,-0.1100,-0.1100,-0.1100,12.4000,-2.3440,12.1870,2.7060,17.7670,-1.7010,-6.3020,45.3640,32.6180,32.6180,8.2030,A
1117,2022-12-31,2022,INDL,C,D,STD,USD,36.2170,0.0000,48.8320,1.7500,20.1350,-10.1810,-8.7580,-0.6900,-0.6900,-0.6900,-0.6900,2.0880,-1.7500,22.9700,3.6130,28.6970,-11.6330,-9.0000,50.9510,20.1350,20.1350,9.6040,A
1119,2020-12-31,2020,INDL,C,D,STD,USD,,,,,,,,,,,,,,,,,,,,,,,A
1119,2021-12-31,2021,INDL,C,D,STD,USD,,,,,,,,,,,,,,,,,,,,,,,A
1119,2022-12-31,2022,INDL,C,D,STD,USD,,,,,,,,,,,,,,,,,,,,,,,A
1119,2023-12-31,2023,INDL,C,D,STD,USD,,,,,,,,,,,,,,,,,,,,,,,A
1121,2020-12-31,2020,INDL,C,D,STD,USD,187.5130,20.2000,296.1870,5.0080,149.0920,-5.3160,13.2570,0.2300,0.2300,0.2300,0.2300,-6.5280,-19.6630,114.5480,2.3310,147.0950,0.9950,-43.9990,1022.4220,149.0920,149.0920,,A
1121,2021-12-31,2021,INDL,C,D,STD,USD,273.2100,,374.7030,12.3820,160.3860,16.1590,35.9560,2.7500,2.7500,2.7800,2.7800,-15.6780,-10.0960,186.0110,2.3890,214.3170,11.8880,81.0260,2025.2040,160.3860,160.3860,,A
1121,2022-12-31,2022,INDL,C,D,STD,USD,250.1430,33.1470,384.1590,7.4910,93.1770,6.2710,28.9780,0.8500,0.8500,0.8600,0.8600,-54.0240,-36.0030,231.0600,3.0780,290.9820,3.4870,13.7770,3366.9170,93.1770,93.1770,,A
1161,2020-12-31,2020,INDL,C,D,STD,USD,6143.0000,0.0000,8962.0000,294.0000,5837.0000,1383.0000,1600.0000,2.0600,2.0600,2.1000,2.1000,6.0000,-952.0000,2417.0000,166.0000,3125.0000,2490.0000,1071.0000,9763.0000,5837.0000,5837.0000,1983.0000,A
1161,2021-12-31,2021,INDL,C,D,STD,USD,8583.0000,0.0000,12419.0000,301.0000,7497.0000,3678.0000,3974.0000,2.5700,2.5700,2.6100,2.6100,-1895.0000,-686.0000,4240.0000,321.0000,4922.0000,3162.0000,3521.0000,16434.0000,7497.0000,7497.0000,2845.0000,A
1161,2022-12-31,2022,INDL,C,D,STD,USD,15019.0000,-822.0000,67580.0000,450.0000,54750.0000,1683.0000,5670.0000,0.8400,0.8400,0.8500,0.8500,-3264.0000,1999.0000,6369.0000,1664.0000,12830.0000,1320.0000,3565.0000,23601.0000,54750.0000,54750.0000,5005.0000,A
1161,2023-12-31,2023,INDL,C,D,STD,USD,16768.0000,131.0000,67885.0000,546.0000,55892.0000,629.0000,3881.0000,0.5300,0.5300,0.5300,0.5300,-1146.0000,-1423.0000,6689.0000,1850.0000,11993.0000,854.0000,1667.0000,22680.0000,55892.0000,55892.0000,5872.0000,A
1186,2020-12-31,2020,INDL,C,D,STD,USD,1247.1880,0.0000,9614.7550,759.3420,5683.2130,822.0380,1484.1810,2.1000,2.1000,2.1200,2.1200,-302.8220,-808.8120,515.6980,715.1190,3931.5420,511.6070,1192.0540,3138.1130,5683.2130,5683.2130,,A
1186,2021-12-31,2021,INDL,C,D,STD,USD,1302.3880,290.8980,10186.7760,867.6840,5980.8350,1027.4140,1772.6730,2.2200,2.2200,2.2300,2.2300,-297.2420,-1234.6890,761.8130,792.7100,4205.9410,543.0090,1315.9940,3823.8780,5980.8350,5980.8350,,A
1186,2022-12-31,2022,INDL,C,D,STD,USD,2180.0590,-838.7320,23494.8080,1538.2370,16241.3450,1546.4090,2667.4680,1.5300,1.5300,1.5300,1.5300,-914.8530,-710.4580,946.4220,968.2200,7253.4630,670.2490,2096.6360,5741.1620,16241.3450,16241.3450,,A
1209,2020-09-30,2020,INDL,C,D,STD,USD,8684.9000,183.3000,25168.5000,2509.0000,12079.8000,2138.4000,3323.4000,8.4900,8.5500,8.5300,8.5900,3284.7000,-3560.0000,2416.7000,1580.2000,12725.4000,1886.7000,3264.7000,8856.3000,12079.8000,12443.1000,83.9000,A
1209,2021-09-30,2021,INDL,C,D,STD,USD,8376.3000,10.5000,26859.2000,2464.2000,13539.7000,2215.0000,3536.3000,9.4300,9.1200,9.4700,9.1600,-1420.9000,-2732.9000,2799.1000,1137.5000,12771.2000,2099.1000,3341.9000,10323.0000,13539.7000,14088.0000,93.5000,A
1209,2022-09-30,2022,INDL,C,D,STD,USD,6282.9000,65.1000,27192.6000,2926.5000,13144.0000,2356.6000,3694.8000,10.1400,10.0800,10.1600,10.1100,-1000.6000,-3857.2000,3465.8000,1099.1000,13490.2000,2256.1000,3230.2000,12698.6000,13144.0000,13702.4000,102.9000,A
1209,2023-09-30,2023,INDL,C,D,STD,USD,5200.5000,0.0000,32002.5000,4626.4000,14312.9000,2704.4000,4062.7000,10.3300,10.3000,10.3500,10.3100,1609.6000,-5916.4000,3895.8000,1118.0000,16342.2000,2300.2000,3206.3000,12600.0000,14312.9000,15660.3000,105.6000,A
1210,2021-03-31,2020,INDL,C,D,STD,USD,105.7740,0.5360,140.7500,6.0050,13.7250,-8.9980,-5.8910,-2.5200,-2.5300,-2.5200,-2.5300,0.0710,2.5160,28.1790,1.7320,119.4380,-7.2770,-1.8190,175.1210,13.7250,14.7140,0.0000,A
1210,2022-03-31,2021,INDL,C,D,STD,USD,128.2430,26.2120,207.5990,1.5580,24.6130,-0.3030,1.5570,3.7800,3.7800,3.7900,3.7900,59.2540,-33.3880,30.9070,1.3420,171.1210,10.9280,-33.0840,177.0770,24.6130,25.7170,0.0000,A
1210,2023-03-31,2022,INDL,C,D,STD,USD,116.5570,2.4980,189.5620,1.1780,11.9040,-3.8830,0.2790,-4.3200,-4.3200,-4.3200,-4.3200,-12.3800,-6.1680,64.2860,0.0470,163.8700,-12.2950,16.9090,247.3230,11.9040,12.9820,0.0000,A
1230,2020-12-31,2020,INDL,C,D,STD,USD,4006.0000,0.0000,14046.0000,206.0000,2988.0000,-1704.0000,-1284.0000,-10.7200,-10.7200,-10.7200,-10.7200,1981.0000,-593.0000,4293.0000,2733.0000,11058.0000,-1324.0000,-234.0000,3566.0000,2988.0000,2988.0000,,A
1230,2021-12-31,2021,INDL,C,D,STD,USD,3920.0000,0.0000,13951.0000,292.0000,3801.0000,-240.0000,154.0000,3.7700,3.7700,3.8200,3.8200,-914.0000,-1008.0000,3991.0000,2129.0000,10150.0000,478.0000,1030.0000,6176.0000,3801.0000,3801.0000,,A
1230,2022-12-31,2022,INDL,C,D,STD,USD,3040.0000,0.0000,14186.0000,1671.0000,3816.0000,694.0000,1109.0000,0.4500,0.4500,0.4600,0.4600,-325.0000,-1218.0000,4493.0000,2027.0000,10370.0000,58.0000,1418.0000,9646.0000,3816.0000,3816.0000,,A
1230,2023-12-31,2023,INDL,C,D,STD,USD,2705.0000,0.0000,14613.0000,1494.0000,4113.0000,837.0000,1288.0000,1.8300,1.8300,1.8400,1.8400,-148.0000,-963.0000,4459.0000,2039.0000,10500.0000,235.0000,1050.0000,10426.0000,4113.0000,4113.0000,,A
1234,2020-12-31,2020,INDL,C,D,STD,USD,112.3190,0.0000,266.8900,21.8860,240.4420,35.6680,47.3200,17.4400,17.4400,17.4900,17.4900,-30.9860,-30.8320,13.6360,2.0440,,32.1150,38.9700,147.5910,240.4420,240.4420,5.6450,A
1234,2021-12-31,2021,INDL,C,D,STD,USD,136.5710,0.0000,267.2640,15.8280,244.2960,36.0420,48.9280,18.1800,18.1800,18.2200,18.2200,-30.9800,1.9960,13.3460,2.5400,,33.0550,38.7980,165.0090,244.2960,244.2960,5.6720,A
1234,2022-12-31,2022,INDL,C,D,STD,USD,119.3970,0.0000,264.7120,33.7360,239.5410,39.6870,53.4990,19.5600,19.5600,19.5900,19.5900,-41.0390,-15.2830,18.0980,3.1850,,35.0080,28.7890,183.5060,239.5410,239.5410,5.5000,A
1254,2020-12-31,2020,INDL,C,D,STD,USD,305.9000,0.0000,2900.6000,192.3000,961.2000,254.0000,362.0000,4.4400,4.4400,4.4800,4.4800,-261.5000,-177.0000,511.5000,165.8000,1939.4000,193.1000,429.8000,2383.3000,961.2000,961.2000,,A
1254,2021-12-31,2021,INDL,C,D,STD,USD,704.5000,0.0000,3693.1000,325.3000,1667.4000,1131.2000,1259.2000,21.4700,21.4700,21.6700,21.6700,-392.7000,-323.4000,612.4000,131.0000,2025.7000,927.4000,984.1000,3925.3000,1667.4000,1667.4000,,A
1254,2022-12-31,2022,INDL,C,D,STD,USD,759.6000,0.0000,4330.0000,209.3000,2296.9000,1270.5000,1405.4000,27.0700,27.0700,27.2800,27.2800,-576.6000,-729.3000,581.6000,114.8000,2033.1000,1063.9000,1271.9000,4343.0000,2296.9000,2296.9000,,A
1257,2020-12-31,2020,INDL,C,D,STD,USD,,0.0000,1404.1380,0.0000,203.2280,82.9120,82.9120,8.1900,8.1900,8.1900,8.1900,90.2940,-32.4600,,5.1620,1200.9100,41.9390,78.0660,209.9790,203.2280,203.2280,0.0000,A
1257,2021-12-31,2021,INDL,C,D,STD,USD,,0.0000,1391.9650,0.0000,252.5890,76.1970,76.1970,25.9400,25.4800,25.9400,25.4800,-160.2940,75.4570,,1.4800,1139.3760,132.9300,118.4650,206.1480,252.5890,252.5890,0.0000,A
1257,2022-12-31,2022,INDL,C,D,STD,USD,,0.0000,1397.7760,0.0000,236.4990,79.4650,79.4650,11.2400,11.2400,11.2400,11.2400,-92.3100,-279.2660,,1.3750,1161.2770,57.6320,102.5490,205.8140,236.4990,236.4990,0.0000,A
1257,2023-12-31,2023,INDL,C,D,STD,USD,,0.0000,1403.6800,0.0000,237.6570,84.5130,84.5130,19.9700,19.9700,19.9700,19.9700,-92.4240,321.8120,,1.2700,1166.0230,102.4130,109.1110,224.9620,237.6570,237.6570,0.0000,A
1263,2022-03-31,2021,INDL,C,D,STD,CAD,1916.5000,0.0000,2693.6000,167.9000,1582.6000,1399.4000,1487.1000,7.7500,7.7500,8.5300,8.5300,-198.7000,-165.7000,537.5000,394.5000,1111.0000,857.7000,1263.4000,3806.0000,1582.6000,1582.6000,,A
1263,2023-03-31,2022,INDL,C,D,STD,CAD,1366.3000,0.0000,2455.6000,333.5000,1462.2000,273.3000,368.5000,1.7100,1.7100,2.4300,2.4300,-569.6000,-333.5000,343.4000,442.5000,993.4000,298.5000,177.3000,2778.5000,1462.2000,1462.2000,,A
1266,2020-09-30,2020,INDL,C,D,STD,USD,51.8990,0.0000,423.9370,21.7050,216.3410,2.3960,16.9160,3.1600,3.1600,3.1600,3.1600,-14.6890,9.4890,21.1580,0.0160,202.1550,23.6620,1.0490,92.5070,216.3410,221.7820,,A
1266,2021-09-30,2021,INDL,C,D,STD,USD,54.9130,0.0000,433.2170,40.7850,242.2030,9.4830,24.6050,4.6400,4.6400,4.6400,4.6400,-32.0370,-3.2680,22.3060,0.2640,185.6120,34.8590,16.5040,108.5640,242.2030,247.6050,,A
1266,2022-09-30,2022,INDL,C,D,STD,USD,31.6160,0.0000,409.2550,20.8670,243.7420,-2.9910,12.2380,1.6500,1.6500,1.6500,1.6500,-29.0120,22.4680,16.5250,0.0490,160.3900,12.4590,6.5230,91.9470,243.7420,248.8650,,A
1266,2023-09-30,2023,INDL,C,D,STD,USD,58.8050,0.0000,428.3530,16.7330,244.9910,-32.1240,-16.6370,0.2400,0.2400,0.2400,0.2400,13.2040,-4.1230,15.0650,0.0640,177.9760,1.8350,-6.2540,39.8460,244.9910,250.3770,,A
1300,2020-12-31,2020,INDL,C,D,STD,USD,28175.0000,261.0000,64586.0000,906.0000,17549.0000,6271.0000,7273.0000,6.7200,6.7200,6.7900,6.7900,-81.0000,-987.0000,19197.0000,8496.0000,46789.0000,4779.0000,6208.0000,32637.0000,17549.0000,17790.0000,1334.0000,A
1300,2021-12-31,2021,INDL,C,D,STD,USD,25372.0000,1326.0000,64470.0000,895.0000,18569.0000,6769.0000,7908.0000,7.9100,7.9100,8.0100,8.0100,-8254.0000,-1061.0000,19508.0000,8248.0000,45221.0000,5542.0000,6038.0000,34392.0000,18569.0000,19242.0000,1333.0000,A
1300,2022-12-31,2022,INDL,C,D,STD,USD,24982.0000,178.0000,62275.0000,766.0000,16697.0000,7308.0000,8298.0000,7.2700,7.2700,7.3300,7.3300,-6330.0000,-93.0000,19938.0000,7020.0000,44949.0000,4966.0000,5274.0000,35466.0000,16697.0000,17319.0000,1478.0000,A
1300,2023-12-31,2023,INDL,C,D,STD,USD,23502.0000,718.0000,61525.0000,1039.0000,16434.0000,7084.0000,8260.0000,8.4700,8.4700,8.5300,8.5300,-5763.0000,-1293.0000,18539.0000,7889.0000,45084.0000,5658.0000,5340.0000,36662.0000,16434.0000,16434.0000,1456.0000,A
1327,2020-09-30,2020,INDL,C,D,STD,USD,2317.6000,0.0000,5106.7000,389.4000,4164.2000,924.7000,1289.0000,4.8000,4.8000,4.8400,4.8400,-907.7000,-581.4000,448.4000,329.2000,942.5000,814.8000,1204.5000,3355.7000,4164.2000,4164.2000,473.9000,A
1327,2021-09-30,2021,INDL,C,D,STD,USD,2865.4000,2751.0000,8590.7000,637.8000,5297.1000,1692.7000,2111.7000,8.9700,8.9700,9.0700,9.0700,1677.4000,-3133.2000,658.5000,236.1000,3293.6000,1498.3000,1772.0000,5109.1000,5297.1000,5297.1000,532.3000,A
1327,2022-09-30,2022,INDL,C,D,STD,USD,3229.9000,0.0000,8873.8000,489.4000,5469.0000,1579.8000,2262.6000,7.8100,7.8100,7.8500,7.8500,-1362.6000,-378.9000,1226.9000,260.5000,3404.8000,1275.2000,1424.6000,5485.5000,5469.0000,5469.0000,617.9000,A
1327,2023-09-30,2023,INDL,C,D,STD,USD,3179.5000,0.0000,8426.7000,210.3000,6082.7000,1208.9000,1822.6000,6.1300,6.1300,6.1700,6.1700,-1479.2000,-224.4000,955.7000,197.6000,2344.0000,982.8000,1856.4000,4772.4000,6082.7000,6082.7000,606.8000,A
1380,2020-12-31,2020,INDL,C,D,STD,USD,3081.0000,0.0000,18821.0000,2197.0000,5366.0000,-2471.0000,-194.0000,-10.1500,-10.1500,-10.1500,-10.1500,568.0000,-1707.0000,1623.0000,1537.0000,12486.0000,-3093.0000,1333.0000,4667.0000,5366.0000,6335.0000,,A
1380,2021-12-31,2021,INDL,C,D,STD,USD,4346.0000,0.0000,20515.0000,1747.0000,6300.0000,2008.0000,3556.0000,1.8100,1.8100,1.8200,1.8200,-591.0000,-1325.0000,3064.0000,1507.0000,13489.0000,559.0000,2890.0000,7473.0000,6300.0000,7026.0000,,A
1380,2022-12-31,2022,INDL,C,D,STD,USD,3931.0000,0.0000,21695.0000,2725.0000,7855.0000,3793.0000,5516.0000,6.7700,6.7700,6.8000,6.8000,-1616.0000,-2555.0000,2396.0000,1459.0000,13199.0000,2096.0000,3944.0000,11324.0000,7855.0000,8496.0000,,A
1393,2021-03-31,2020,INDL,C,D,STD,USD,,0.0000,14651.6060,1441.4750,4851.8820,910.3570,1574.3580,31.1500,31.1500,31.1500,31.1500,287.3530,-1129.5290,,3214.2430,9799.7240,610.8560,1535.3950,4541.9850,4851.8820,4851.8820,,A
1393,2022-03-31,2021,INDL,C,D,STD,USD,,0.0000,17299.5810,2136.5370,5885.2830,1426.6740,2123.6290,57.2900,57.2900,57.2900,57.2900,1433.1550,-1867.1760,,3374.4610,11414.2980,1123.2860,1946.2350,5739.7470,5885.2830,5885.2830,,A
1393,2023-03-31,2022,INDL,C,D,STD,USD,,0.0000,18124.6480,2723.9010,6528.3350,1202.6180,1936.4970,4.7100,4.7100,4.7100,4.7100,59.7950,-2421.3850,,3334.4320,11596.3130,922.9980,1729.6100,5864.6910,6528.3350,6528.3350,,A
1393,2023-03-31,2022,INDL,C,D,STD,USD,,0.0000,18124.6480,2723.9010,6528.3350,1202.6180,1936.4970,4.7100,4.7100,4.7100,4.7100,59.7950,-2421.3850,,3334.4320,11596.3130,922.9980,1729.6100,5864.6910,6528.3350,6528.3350,,A
1410,2020-10-31,2020,INDL,C,D,STD,USD,1441.9000,0.0000,3776.9000,38.0000,1500.3000,290.3000,386.7000,0.0000,0.0000,0.0000,0.0000,-94.1000,-27.5000,986.9000,541.7000,2276.6000,0.3000,457.5000,5987.6000,1500.3000,1500.3000,,A
1410,2021-10-31,2021,INDL,C,D,STD,USD,1401.1000,710.1000,4436.2000,34.3000,1609.2000,406.4000,496.3000,1.8600,1.8600,1.8700,1.8700,92.4000,-740.0000,1285.8000,547.3000,2827.0000,126.3000,314.3000,6228.6000,1609.2000,1609.2000,,A
1410,2022-10-31,2022,INDL,C,D,STD,USD,1561.2000,194.6000,4868.9000,50.8000,1717.2000,421.7000,534.1000,3.4100,3.4100,3.4400,3.4400,235.5000,-241.5000,1353.2000,511.5000,3151.7000,230.4000,20.4000,7806.6000,1717.2000,1717.2000,,A
1410,2023-10-31,2023,INDL,C,D,STD,USD,1710.8000,0.0000,4933.7000,52.6000,1799.9000,410.7000,531.4000,3.7900,3.7900,3.8100,3.8100,-186.3000,-62.1000,1217.9000,441.2000,3133.8000,251.3000,243.3000,8096.4000,1799.9000,1799.9000,,A
1414,2020-12-31,2020,INDL,C,D,STD,USD,,0.0000,14905.2850,27.6220,1835.8850,535.5690,553.2660,9.5700,9.5700,9.6000,9.6000,-301.7900,-53.5290,,10480.1440,13069.4000,386.1640,643.4170,2217.5410,1835.8850,1835.8850,,A
1414,2021-12-31,2021,INDL,C,D,STD,USD,,494.4590,16123.2230,24.6880,2082.5120,639.6640,669.7640,9.3800,9.3800,9.4100,9.4100,107.9740,-923.3830,,11071.5650,14033.4400,373.3570,656.9560,2709.7320,2082.5120,2082.5120,,A
1414,2022-12-31,2022,INDL,C,D,STD,USD,,-3.8670,15348.8770,25.8050,1721.4990,578.9940,613.3940,9.7400,9.7400,9.7700,9.7700,-457.8500,-200.0480,,10775.7130,13627.3780,373.0120,757.6650,2720.1330,1721.4990,1721.4990,,A
1414,2023-12-31,2023,INDL,C,D,STD,USD,,,15027.7320,,2065.9670,778.2730,,15.9400,15.9400,15.9700,15.9700,,,,10171.2710,12961.7650,576.6010,,2815.6910,2065.9670,2065.9670,,A
1417,2020-06-30,2020,INDL,C,D,STD,USD,,,,,,,,,,,,,,,,,,,,,,,A
1417,2021-06-30,2021,INDL,C,D,STD,USD,,,,,,,,,,,,,,,,,,,,,,,A
1417,2022-06-30,2022,INDL,C,D,STD,USD,,,,,,,,,,,,,,,,,,,,,,,A
1417,2023-06-30,2023,INDL,C,D,STD,USD,,,,,,,,,,,,,,,,,,,,,,,A
1440,2020-12-31,2020,INDL,C,D,STD,USD,4351.5000,0.0000,80757.2000,6316.0000,20550.9000,2987.7000,5670.5000,4.4200,4.4200,4.4400,4.4400,2406.7000,-6233.9000,9926.7000,11693.3000,59937.5000,2200.1000,3832.9000,14918.5000,20596.1000,20819.7000,,A
1440,2021-12-31,2021,INDL,C,D,STD,USD,7809.2000,767.2000,87668.7000,5764.1000,22433.2000,3372.3000,6198.0000,4.9600,4.9600,4.9700,4.9700,2607.1000,-6433.9000,12426.7000,12075.8000,64945.2000,2488.1000,3839.9000,16792.0000,22476.5000,22723.5000,,A
1440,2022-12-31,2022,INDL,C,D,STD,USD,9418.7000,1207.3000,93469.4000,6772.4000,23893.4000,3692.7000,6895.5000,4.4900,4.4900,4.5100,4.5100,2568.9000,-7751.8000,14567.4000,11656.6000,69301.1000,2307.2000,5288.0000,19639.5000,23939.3000,24168.3000,,A
1447,2020-12-31,2020,INDL,C,D,STD,USD,,,191367.0000,1479.0000,22984.0000,4929.0000,6472.0000,3.7700,3.7700,3.7700,3.7700,-9068.0000,11632.0000,,26460.0000,168383.0000,3135.0000,5591.0000,38185.0000,22984.0000,22984.0000,,A
